right x, right y, right size, left x, left y, left size
3.160645,8.685303,34.746094,7.847412,7.735352,35.890625
3.159912,8.685547,34.750000,7.847168,7.734375,35.886719
3.161133,8.685303,34.746094,7.846680,7.735107,35.890625
3.163330,8.685547,34.746094,7.844238,7.734863,35.878906
3.162354,8.683838,34.750000,7.839600,7.730713,35.875000
3.159912,8.684326,34.750000,7.840088,7.728760,35.871094
3.164307,8.683105,34.742188,7.840088,7.731689,35.882812
3.158936,8.683838,34.742188,7.843018,7.733398,35.878906
3.160889,8.682617,34.738281,7.843262,7.731445,35.886719
3.158936,8.685303,34.734375,7.842529,7.734619,35.886719
3.162598,8.685303,34.757812,7.841064,7.733154,35.890625
3.162598,8.682617,34.750000,7.836914,7.734131,35.890625
3.159912,8.682617,34.746094,7.839355,7.735596,35.890625
3.159180,8.684814,34.742188,7.839600,7.738770,35.898438
3.159912,8.685791,34.742188,7.839111,7.739258,35.902344
3.160645,8.682861,34.746094,7.837402,7.741943,35.902344
3.162109,8.683838,34.750000,7.838867,7.740967,35.910156
3.160889,8.686523,34.746094,7.837646,7.743896,35.914062
3.155762,8.683350,34.746094,7.839355,7.742676,35.906250
3.159424,8.679443,34.761719,7.838867,7.738525,35.914062
3.161377,8.677734,34.750000,7.839844,7.736084,35.917969
3.162109,8.676270,34.750000,7.842773,7.731934,35.921875
3.152832,8.674805,34.757812,7.843750,7.730225,35.925781
3.153809,8.674072,34.753906,7.842285,7.729980,35.929688
3.150879,8.669434,34.742188,7.846436,7.730713,35.917969
3.148682,8.672607,34.742188,7.843994,7.732178,35.917969
3.147461,8.674316,34.746094,7.847168,7.731689,35.917969
3.152100,8.674805,34.738281,7.843262,7.728516,35.914062
3.154785,8.678223,34.730469,7.844482,7.728760,35.925781
3.156494,8.678467,34.730469,7.845215,7.725830,35.914062
3.151367,8.678955,34.730469,7.846191,7.724121,35.917969
3.155273,8.678467,34.722656,7.842285,7.723877,35.914062
3.156738,8.678223,34.722656,7.843506,7.723145,35.917969
3.156982,8.677246,34.718750,7.843506,7.722412,35.921875
3.155762,8.678955,34.714844,7.838135,7.719727,35.917969
3.156982,8.678223,34.726562,7.842041,7.717041,35.910156
